Rank,Movie,Year,Movie Rating,Duration,Numerical Rating,Votes
104,Double Indemnity,1944,Passed,1h 47m,8.3,163000
105,Amélie,2001,R,2h 2m,8.3,777000
106,Scarface,1983,18+,2h 50m,8.3,882000
107,Full Metal Jacket,1987,R,1h 56m,8.3,769000
108,A Clockwork Orange,1971,X,2h 16m,8.3,858000
109,Incendies,2010,R,2h 11m,8.3,188000
110,Hamilton,2020,PG-13,2h 40m,8.3,105000
111,Heat,1995,R,2h 50m,8.3,691000
112,Up,2009,PG,1h 36m,8.3,1100000
113,To Kill a Mockingbird,1962,Approved,2h 9m,8.3,326000
114,The Sting,1973,PG,2h 9m,8.3,272000
115,A Separation,2011,PG-13,2h 3m,8.3,252000
116,Indiana Jones and the Last Crusade,1989,PG-13,2h 7m,8.2,790000
117,Metropolis,1927,Not Rated,2h 33m,8.3,180000
118,Die Hard,1988,R,2h 12m,8.2,911000
119,L.A. Confidential,1997,R,2h 18m,8.2,600000
120,Bicycle Thieves,1948,Not Rated,1h 29m,8.3,170000
121,Snatch,2000,R,1h 42m,8.2,885000
122,Like Stars on Earth,2007,PG,2h 45m,8.3,201000
123,Taxi Driver,1976,R,1h 54m,8.2,882000
124,1917,2019,R,1h 59m,8.2,639000
125,Downfall,2004,R,2h 36m,8.2,366000
126,Dangal,2016,Not Rated,2h 41m,8.3,201000
127,Top Gun: Maverick,2022,PG-13,2h 10m,8.3,626000
128,For a Few Dollars More,1965,R,2h 12m,8.2,266000
129,Batman Begins,2005,PG-13,2h 20m,8.2,1500000
130,Some Like It Hot,1959,Passed,2h 1m,8.2,276000
131,The Kid,1921,Passed,1h 8m,8.2,131000
132,The Wolf of Wall Street,2013,R,3h,8.2,1500000
133,The Father,2020,PG-13,1h 37m,8.2,176000
134,Green Book,2018,PG-13,2h 10m,8.2,533000
135,All About Eve,1950,Passed,2h 18m,8.2,136000
136,Judgment at Nuremberg,1961,Approved,2h 59m,8.3,81000
137,The Truman Show,1998,PG,1h 43m,8.2,1100000
138,There Will Be Blood,2007,R,2h 38m,8.2,617000
139,Ran,1985,R,2h 42m,8.2,131000
140,Casino,1995,R,2h 58m,8.2,544000
141,Shutter Island,2010,R,2h 18m,8.2,1400000
142,Pan's Labyrinth,2006,R,1h 58m,8.2,688000
143,The Sixth Sense,1999,PG-13,1h 47m,8.2,1000000
144,Unforgiven,1992,R,2h 10m,8.2,426000
145,Jurassic Park,1993,PG-13,2h 7m,8.2,1000000
146,A Beautiful Mind,2001,PG-13,2h 15m,8.2,961000
147,The Treasure of the Sierra Madre,1947,Passed,2h 6m,8.2,129000
148,Yojimbo,1961,Not Rated,1h 50m,8.2,128000
149,No Country for Old Men,2007,R,2h 2m,8.2,1000000
150,Monty Python and the Holy Grail,1975,PG,1h 31m,8.2,557000
151,Kill Bill: Vol. 1,2003,R,1h 51m,8.2,1200000
152,The Great Escape,1963,Approved,2h 52m,8.2,252000
153,The Thing,1982,16+,1h 49m,8.2,446000
154,Rashomon,1950,Not Rated,1h 28m,8.2,175000
155,Finding Nemo,2003,G,1h 40m,8.2,1100000
156,The Elephant Man,1980,PG,2h 4m,8.2,251000
157,Chinatown,1974,R,2h 10m,8.2,339000
158,Spider-Man: No Way Home,2021,PG-13,2h 28m,8.2,827000
159,Gone with the Wind,1939,Passed,3h 58m,8.2,326000
160,V for Vendetta,2005,R,2h 12m,8.2,1200000
161,Dial M for Murder,1954,PG,1h 45m,8.2,183000
